"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","642","ROM","Romania","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","87384.31821"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","493820"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","646","RWA","Rwanda","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","1530.124637"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","659","KNA","Saint Kitts and Nevis","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","49.5"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","660","AIA","Anguilla","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","14.054987"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","662","LCA","Saint Lucia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","59.056"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","666","SPM","Saint Pierre and Miquelon","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","4.953"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","670","VCT","Saint Vincent and the Grenadines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","34.304"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","678","STP","Sao Tomé and Principe","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","20.790921"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","682","SAU","Saudi Arabia, Kingdom of","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","276179.2"
