"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","004","AFG","Afghanistan","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","5574"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","008","ALB","Albania","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","7718.083698"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","36000"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","016","ASM","American Samoa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","711"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","020","AND","Andorra","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","1822.574393"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","024","AGO","Angola","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","11794.848"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","028","ATG","Antigua and Barbuda","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","595.526"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","031","AZE","Azerbaijan","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","11705.8"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","63185"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","036","AUS","Australia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","261164.804141"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","040","AUT","Austria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","219519.83042"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","044","BHS","Bahamas","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","3201.3"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","048","BHR","Bahrain, Kingdom of","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","14187.617643"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","050","BGD","Bangladesh","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","80448"
